x,y,street_count,geometry,out_degree,in_degree
-8.5808614,41.1491995,3,POINT (-8.5808614 41.1491995),1,2
-8.5815075,41.1480176,3,POINT (-8.581507500000001 41.1480176),2,1
-8.5794325,41.1460615,3,POINT (-8.579432499999999 41.1460615),1,2
-8.5779888,41.1512331,3,POINT (-8.5779888 41.1512331),2,1
-8.574699,41.1520746,3,POINT (-8.574699000000001 41.1520746),1,2
-8.5796626,41.146385,3,POINT (-8.579662600000001 41.146385),2,1
-8.5812331,41.1475865,3,POINT (-8.5812331 41.1475865),2,1
-8.5798341,41.1495021,3,POINT (-8.579834099999999 41.1495021),1,2
-8.5791502,41.1462573,3,POINT (-8.579150200000001 41.1462573),2,2
-8.5792721,41.1462377,3,POINT (-8.579272100000001 41.1462377),2,1
-8.5793258,41.1458821,3,POINT (-8.579325799999999 41.1458821),1,2
-8.5791579,41.1458378,3,POINT (-8.5791579 41.1458378),2,1
-8.5788761,41.1460517,3,POINT (-8.5788761 41.1460517),1,2
-8.579047,41.146241,3,POINT (-8.579046999999999 41.146241),1,2
-8.5787046,41.1462924,3,POINT (-8.5787046 41.1462924),2,2
-8.5796527,41.1455662,3,POINT (-8.5796527 41.1455662),2,2
-8.6308069,41.1650366,4,POINT (-8.6308069 41.1650366),2,2
-8.6336666,41.1637296,3,POINT (-8.6336666 41.1637296),2,1
-8.6352081,41.1628949,3,POINT (-8.6352081 41.1628949),2,2
-8.6359462,41.1625307,3,POINT (-8.635946199999999 41.1625307),3,2
-8.6350672,41.1629893,3,POINT (-8.6350672 41.1629893),2,1
-8.6270836,41.1647122,4,POINT (-8.627083600000001 41.1647122),2,2
-8.6297021,41.1650357,3,POINT (-8.629702099999999 41.1650357),2,1
-8.5934679,41.1605506,3,POINT (-8.5934679 41.1605506),2,2
-8.5943292,41.1606069,3,POINT (-8.594329200000001 41.1606069),2,1
-8.5982534,41.1611025,4,POINT (-8.598253400000001 41.1611025),2,2
-8.60031,41.1613654,4,POINT (-8.60031 41.1613654),3,3
-8.6016969,41.1615383,3,POINT (-8.6016969 41.1615383),2,1
-8.6068578,41.1621694,4,POINT (-8.6068578 41.1621694),2,2
-8.6092234,41.1624758,4,POINT (-8.609223399999999 41.1624758),2,2
-8.6111351,41.1627093,4,POINT (-8.6111351 41.1627093),3,3
-8.6126189,41.1628962,3,POINT (-8.612618899999999 41.1628962),2,1
-8.6207018,41.1639052,4,POINT (-8.620701800000001 41.1639052),3,3
-8.5829121,41.1776376,4,POINT (-8.5829121 41.1776376),3,2
-8.5845737,41.1743566,4,POINT (-8.5845737 41.1743566),4,3
-8.6791569,41.1537781,3,POINT (-8.679156900000001 41.1537781),2,2
-8.6776262,41.1522916,3,POINT (-8.677626200000001 41.1522916),2,2
-8.6797171,41.1545381,3,POINT (-8.6797171 41.1545381),2,2
-8.6783507,41.152985,3,POINT (-8.678350699999999 41.152985),2,1
-8.6787639,41.153449,3,POINT (-8.6787639 41.153449),2,1
-8.678571,41.1528939,3,POINT (-8.678571 41.1528939),2,3
-8.6755597,41.1494088,3,POINT (-8.675559700000001 41.1494088),3,2
-8.6758709,41.149878,3,POINT (-8.6758709 41.149878),1,2
-8.6759929,41.150286,3,POINT (-8.675992900000001 41.150286),2,2
-8.6762608,41.1506522,4,POINT (-8.6762608 41.1506522),2,3
-8.6765626,41.1510805,3,POINT (-8.6765626 41.1510805),1,2
-8.6235745,41.1442647,3,POINT (-8.6235745 41.1442647),3,3
-8.6455756,41.1567787,3,POINT (-8.645575600000001 41.1567787),2,2
-8.6480341,41.1549288,3,POINT (-8.6480341 41.1549288),1,2
-8.6454697,41.1573769,3,POINT (-8.6454697 41.1573769),2,1
-8.6455537,41.1576099,3,POINT (-8.645553700000001 41.1576099),2,1
-8.6452777,41.1576251,3,POINT (-8.645277699999999 41.1576251),2,1
-8.6452239,41.1578684,3,POINT (-8.6452239 41.1578684),1,2
-8.6452239,41.1579492,3,POINT (-8.6452239 41.1579492),2,1
-8.6451306,41.1582609,3,POINT (-8.6451306 41.1582609),2,2
-8.6480752,41.159638,3,POINT (-8.648075199999999 41.159638),1,2
-8.6474427,41.1589957,3,POINT (-8.647442699999999 41.1589957),2,1
